hip_number,ra_deg,dec_deg,light_year,vmag
109427,332.549249,6.197789,96.53538644,3.52
40526,124.128951,9.18566295,290.2938557,3.53
20889,67.15388879,19.18052092,154.9429658,3.53
77516,237.4052738,-3.43014112,155.6829035,3.54
56343,173.2510794,-31.85752405,129.2112564,3.54
86263,264.3967718,-15.39840835,105.3992887,3.54
27288,86.73895728,-14.82194717,70.15278674,3.55
99240,302.1744171,-66.17932101,19.9108288,3.55
69996,214.8509697,-46.05808391,351.6720604,3.55
20042,64.47341068,-33.79833145,178.4345922,3.55
89937,275.2597457,72.73369763,26.26702119,3.55
1562,4.85701265,-8.82382948,289.5204263,3.56
10602,34.12708452,-51.51211145,154.7958215,3.56
55282,169.835511,-14.77904358,194.6268657,3.56
82545,253.083973,-38.01747781,516.6402536,3.56
71053,217.957741,30.37114497,148.7226277,3.57
44471,135.9064949,47.15665934,422.8274968,3.57
75177,230.4518186,-36.26116729,326.3263263,3.57
37740,116.1119524,24.39812929,143.4227893,3.57
35350,109.5233616,16.54047526,94.24689217,3.58
100064,304.5134103,-12.54485877,108.6304565,3.58
57757,177.6720255,1.76537705,35.5352082,3.59
60260,185.3408804,-60.40136988,227.972028,3.59
7607,24.49792651,48.62848641,173.7739872,3.59
27072,86.11656241,-22.44748663,29.24029061,3.59
24674,79.40166225,-6.84438616,554.4217687,3.59
6537,21.00604671,-8.18275372,114.4662921,3.6
85727,262.774904,-60.68360667,187.141217,3.6
46651,142.6754706,-40.46688763,60.49359807,3.6
42536,130.0733717,-52.92197259,494.6889226,3.6
33018,103.1972503,33.96136985,196.503918,3.6
76470,234.2560775,-28.13507099,194.5107399,3.6
49841,152.6474879,-12.35383921,114.6272855,3.61
63613,195.5657397,-71.54879865,90.78251184,3.61
86929,266.4333435,-64.7237345,370.8759954,3.61
15900,51.20349011,9.02906504,211.4137484,3.61
13209,42.49578911,27.26079044,159.4132029,3.61
7097,22.87080776,15.34583101,293.9585212,3.62
82729,253.6462716,-42.36075916,150.4383941,3.62
17847,57.29054669,24.05352412,380.3967328,3.62
37819,116.3137663,-37.96859848,1387.234043,3.62
113726,345.4801938,42.32597866,692.1443737,3.62
57363,176.4023639,-66.72884344,128.245476,3.63
101769,309.3869573,14.59520289,97.3424903,3.64
46733,142.8815403,63.06179545,75.46296296,3.65
110960,337.2075023,-0.02006304,103.3935934,3.65
20205,64.94805793,15.62770031,153.9914974,3.65
88714,271.6578283,-50.09145462,1012.42236,3.65
77233,236.5467288,15.42192602,152.9798217,3.65
75695,231.9577163,29.10549164,113.986014,3.66
76600,234.6641015,-29.77768935,444.7476126,3.66
68756,211.0976084,64.37580873,308.7121212,3.67
103227,313.7024151,-58.4540947,602.5878004,3.67
22549,72.80152507,5.60510146,1258.687259,3.68
97365,296.8469384,18.53425912,447.8021978,3.68
42828,130.8981145,-33.18641133,844.5595855,3.68
